time,gl
2026-01-01T00:00,110.0
2026-01-01T00:05,110.1
2026-01-01T00:10,110.0
2026-01-01T00:15,110.5
2026-01-01T00:20,110.6
2026-01-01T00:25,110.2
2026-01-01T00:30,110.5
2026-01-01T00:35,111.5
2026-01-01T00:40,112.3
2026-01-01T00:45,111.7
2026-01-01T00:50,110.7
2026-01-01T00:55,110.2
2026-01-01T01:00,110.2
2026-01-01T01:05,121.4
2026-01-01T01:10,134.2
2026-01-01T01:15,146.2
2026-01-01T01:20,158.6
2026-01-01T01:25,171.2
2026-01-01T01:30,183.9
2026-01-01T01:35,197.2
2026-01-01T01:40,211.1
2026-01-01T01:45,224.0
2026-01-01T01:50,231.1
2026-01-01T01:55,236.5
2026-01-01T02:00,242.8
2026-01-01T02:05,249.5
2026-01-01T02:10,255.6
2026-01-01T02:15,261.0
2026-01-01T02:20,260.3
2026-01-01T02:25,259.9
2026-01-01T02:30,260.1
2026-01-01T02:35,259.3
2026-01-01T02:40,259.1
2026-01-01T02:45,259.0
2026-01-01T02:50,259.4
2026-01-01T02:55,259.6
2026-01-01T03:00,246.9
2026-01-01T03:05,233.3
2026-01-01T03:10,220.2
2026-01-01T03:15,207.9
2026-01-01T03:20,196.1
2026-01-01T03:25,182.1
2026-01-01T03:30,170.3
2026-01-01T03:35,158.3
2026-01-01T03:40,146.0
2026-01-01T03:45,140.2
2026-01-01T03:50,133.9
2026-01-01T03:55,129.1
2026-01-01T04:00,124.7
2026-01-01T04:05,120.1
2026-01-01T04:10,115.2
2026-01-01T04:15,109.4
2026-01-01T04:20,102.5
2026-01-01T04:25,102.5
2026-01-01T04:30,103.0
2026-01-01T04:35,102.0
2026-01-01T04:40,102.3
2026-01-01T04:45,102.6
2026-01-01T04:50,103.2
2026-01-01T04:55,102.2
2026-01-01T05:00,101.7
2026-01-01T05:05,101.4
2026-01-01T05:10,100.4
2026-01-01T05:15,101.8
2026-01-01T05:20,101.4
2026-01-01T05:25,101.7
2026-01-01T05:30,101.5
2026-01-01T05:35,102.7
2026-01-01T05:40,103.8
2026-01-01T05:45,115.3
2026-01-01T05:50,124.5
2026-01-01T05:55,135.6
2026-01-01T06:00,147.1
2026-01-01T06:05,158.9
2026-01-01T06:10,169.4
2026-01-01T06:15,181.9
2026-01-01T06:20,191.8
2026-01-01T06:25,202.3
2026-01-01T06:30,214.1
2026-01-01T06:35,212.1
2026-01-01T06:40,211.7
2026-01-01T06:45,209.9
2026-01-01T06:50,207.3
2026-01-01T06:55,205.0
2026-01-01T07:00,202.2
2026-01-01T07:05,199.1
2026-01-01T07:10,197.7
2026-01-01T07:15,196.1
2026-01-01T07:20,195.2
2026-01-01T07:25,192.6
2026-01-01T07:30,191.9
2026-01-01T07:35,184.7
2026-01-01T07:40,178.9
2026-01-01T07:45,171.6
2026-01-01T07:50,164.0
2026-01-01T07:55,157.2
2026-01-01T08:00,151.0
2026-01-01T08:05,144.2
2026-01-01T08:10,136.7
2026-01-01T08:15,128.6
2026-01-01T08:20,120.5
2026-01-01T08:25,113.9
2026-01-01T08:30,107.7
2026-01-01T08:35,100.6
2026-01-01T08:40,92.7
2026-01-01T08:45,86.4
2026-01-01T08:50,78.4
2026-01-01T08:55,70.8
2026-01-01T09:00,64.3
2026-01-01T09:05,62.7
2026-01-01T09:10,63.3
2026-01-01T09:15,63.1
2026-01-01T09:20,63.4
2026-01-01T09:25,63.6
2026-01-01T09:30,64.0
2026-01-01T09:35,64.8
2026-01-01T09:40,64.5
2026-01-01T09:45,65.9
2026-01-01T09:50,66.7
2026-01-01T09:55,67.6
2026-01-01T10:00,68.8
2026-01-01T10:05,69.7
2026-01-01T10:10,70.6
2026-01-01T10:15,70.9
2026-01-01T10:20,70.0
2026-01-01T10:25,70.2
2026-01-01T10:30,69.8
2026-01-01T10:35,68.9
2026-01-01T10:40,69.4
2026-01-01T10:45,69.2
2026-01-01T10:50,68.6
2026-01-01T10:55,68.0
2026-01-01T11:00,68.5
2026-01-01T11:05,69.0
2026-01-01T11:10,70.3
2026-01-01T11:15,70.6
2026-01-01T11:20,71.6
2026-01-01T11:25,73.0
2026-01-01T11:30,74.2
2026-01-01T11:35,72.5
2026-01-01T11:40,73.8
2026-01-01T11:45,74.3
2026-01-01T11:50,74.9
2026-01-01T11:55,75.4
2026-01-01T12:00,76.0
2026-01-01T12:05,76.2
2026-01-01T12:10,75.9
2026-01-01T12:15,74.4
2026-01-01T12:20,74.3
2026-01-01T12:25,73.7
2026-01-01T12:30,74.6
2026-01-01T12:35,74.3
2026-01-01T12:40,74.4
2026-01-01T12:45,73.7
2026-01-01T12:50,73.3
2026-01-01T12:55,73.3
2026-01-01T13:00,72.1
2026-01-01T13:05,72.4
2026-01-01T13:10,72.3
2026-01-01T13:15,71.3
2026-01-01T13:20,69.4
2026-01-01T13:25,69.8
2026-01-01T13:30,69.6
2026-01-01T13:35,69.1
2026-01-01T13:40,69.0
2026-01-01T13:45,70.4
2026-01-01T13:50,70.4
2026-01-01T13:55,70.4
2026-01-01T14:00,69.3
2026-01-01T14:05,70.6
2026-01-01T14:10,71.3
2026-01-01T14:15,72.2
2026-01-01T14:20,72.2
2026-01-01T14:25,72.9
2026-01-01T14:30,73.2
2026-01-01T14:35,73.7
2026-01-01T14:40,73.6
2026-01-01T14:45,72.4
2026-01-01T14:50,73.2
2026-01-01T14:55,71.7
2026-01-01T15:00,71.5
2026-01-01T15:05,71.3
2026-01-01T15:10,70.5
2026-01-01T15:15,71.0
2026-01-01T15:20,70.8
2026-01-01T15:25,70.5
2026-01-01T15:30,70.9
2026-01-01T15:35,70.5
2026-01-01T15:40,71.6
2026-01-01T15:45,71.9
2026-01-01T15:50,71.5
2026-01-01T15:55,70.0
2026-01-01T16:00,68.9
2026-01-01T16:05,69.8
2026-01-01T16:10,69.8
2026-01-01T16:15,69.5
2026-01-01T16:20,70.8
2026-01-01T16:25,69.8
2026-01-01T16:30,69.4
